"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
1.93, 0.514095666175, -2.498435325, -2.498435325, -9.81, 0.1
1.93, 0.514095666175, -2.498435325, -2.498435325, -9.81, 0.1
1.94, 0.488669862925, -2.596535325, -2.596535325, -9.81, 0.1
1.94, 0.488669862925, -2.596535325, -2.596535325, -9.81, 0.1
1.95, 0.462263059675, -2.694635325, -2.694635325, -9.81, 0.1
1.95, 0.462263059675, -2.694635325, -2.694635325, -9.81, 0.1
1.96, 0.434875256425, -2.792735325, -2.792735325, -9.81, 0.1
1.96, 0.434875256425, -2.792735325, -2.792735325, -9.81, 0.1
1.97, 0.406506453175, -2.890835325, -2.890835325, -9.81, 0.1
1.97, 0.406506453175, -2.890835325, -2.890835325, -9.81, 0.1
1.98, 0.377156649925, -2.988935325, -2.988935325, -9.81, 0.1
